The Ninja Playground	Utah	March 1st
Ninja Lair	Nevada	March 2nd
The Wolfs Den	California	March 2nd
Hit Squad	Arizona	March 1 - 2nd
Leap Ninja	Wyoming	March 7 - 9th
Iron Sports Ninja Warrior	Texas	March 1 - 9th
Ultimate Ninja Gym	New Mexico	March 1, 4, 6th
Republic Warrior Sports	Missouri	March 8th
Athletes in Motion	Lousiana	March 8th
Fortified Fitness	Tennessee	March 8th
Ninjobstacles	Ohio	March 8th
Next Level Gym	Oklahoma	March 8th
Strong Grip	Florida	March 9th
Move Sport Ninja Academy	Texas	March 1 st
WISC Ninja Warrior	Virginia	March 1 - 9th
Altius Ninja	Wisconsin	March 1 - 9th
Power Pickle	Texas	March 1 - 9th
305 Ninja Academy	Florida	March 1 - 9th
StricklyNinjas	Georgia	March 8th
Conquer Gym - Fargo	North Dakota	March 8th
Warrior Playground	Colorado	March 6 - 7th
